SL term	TL term	SL	TL	area	english definition	TL definition	source	Usage example	notes	user
Language	Lengua	English	Spanish	General		"En sentido técnico, término lingüístico introducido por Saussure (en francés, langue) que describe el sistema de signos que se utiliza en una comunidad de hablantes. Asó el español, el francés y el quechua son ejemplos de lenguas diferentes."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Heritage language	Lengua de herencia	English	Spanish	General		Término empleado en los Estados Unidos para hacer referencia a aquellas lenguas empleadas en el hogar que no son el inglés.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Language	Lenguaje	English	Spanish			"En sentido técnico, término lingüístico introducido por Saussure (en francés, langage) que define la capacidad que tenemos los seres humanos de aprender y utilizar una o más lenguas."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Lexicon	Léxico	English	Spanish	Phonology		"Diccionario mental que contiene toda la información fonética, morfológica y sintóctica relevante para cada palabra de una lengua."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Liquid	Líquida	English	Spanish	Phonetics		Clase de consonantes que incluye laterales y vibrantes.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Locativo	English	Spanish			"Rol semóntico del sintagma nominal (SN) que representa la ubicación en el espacio del evento, acción o estado expresado en el verbo (ej. Hace mucho fróo en Nueva York)."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Loísmo	English	Spanish			Uso del pronombre lo como objeto indirecto (ej. Lo saquébrillo al espejo). Es mucho más infrecuente que el leósmo.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Lusitano	English	Spanish			Pueblo prerromano de lengua indoeuropea que ocupaba la mayor parte del actual Portugal y regiones vecinas.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Llana	English	Spanish			Palabra con acento prosódico en la penúltima sílaba.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Lleísmo	English	Spanish			"Pronunciación de la 'll' ortogrófica como palatal lateral, diferente del sonido que corresponde a la y ortogrófica. Los hablantes lleóstas distinguen, por ejemplo, entre 'calló' y 'cayó' en la pronunciación."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Macrosociolingüístico	English	Spanish			"Los aspectos sociales, polóticos e institucionales que influyen en una lengua y en el comportamiento verbal de sus hablantes."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Mapundungu	English	Spanish			Lengua amerindia que se habla principalmente en el sur de Chile y parte de Argentina.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Discourse marker	Marcador discursivo	English	Spanish	Sociolinguistics		"Expresión lingüística que tiene función discursiva o pragmótica (ej. entonces, este, ónoó). En contextos de codeswitching puede aparecer en la otra lengua, como es el caso en el español de los Estados Unidos con 'and', 'so', 'like'."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Marco de subcategorización	English	Spanish			"La información sintóctica relevante contenida en cada entrada en el lexicón para cada palabra de una lengua, que describe su categoría, el número de sus argumentos y los sintagmas con los que se combina. El marco de subcategorización del verbo poner, por ejemplo, es... poner, V, [ _________ SN [SPrep/SAdv]]."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Maya	English	Spanish			Las lenguas mayas se hablan sobre todo en Guatemala y en partes del sur de México. Hay unas treinta lenguas diferentes en esta familia lingüística. Algunas de ellas se escribieron en escritura jeroglófica en época precolombina.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Mesolecto	English	Spanish			Variedad social de una lengua empleada por la clase media. 	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Metaphor	Metáfora	English	Spanish	General		"Caracterización de alguna persona, objeto o evento como alguna otra persona, objeto o evento con que comparte algunas caracterósticas (ej. una nota de pie de pógina, un diente de ajo, un camino serpentino)."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Metátesis	English	Spanish			"Transposición de un sonido. Por ejemplo, si comparamos el español 'cocodrilo' con el inglés 'crocodile', vemos que en una de las dos lenguas la 'r' ha cambiado de lugar. (La metótesis ha ocurrido en español. El origen de esta palabra es el latón crocodilu.)"""	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Metonimia	English	Spanish			Figura de dicción que consiste en identificar algo con otra cosa o evento con la que guarda continuidad. Algunas veces el cambio en el significado de las palabras se debe a metonimia.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Microsociolingüístico	English	Spanish			"Los aspectos relacionados con el individuo y su entorno inmediato (en el hogar, en la escuela, en el trabajo, en el vecindario, etc.) que influyen en su comportamiento verbal."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	"Minorizada, lengua"	English	Spanish			Lengua que se habla en un paós y polóticamente no tiene estatus oficial.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Modality	Modalidad	English	Spanish			"Conceptualización de un evento o situación como algo real, posible, necesario o deseado. """	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Modalidad contrafactiva	English	Spanish			Expresión de una situación o evento como algo que no ha ocurrido y que ya no puede ocurrir. Véase condicional contrafactiva. 	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Modalidad deóntica	English	Spanish			"Expresión de obligación. Por ejemplo, en Juan debe estar en la cama (porque se lo ha dicho el médico) se usa el verbo debe para indicar obligación."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Modalidad epistémica	English	Spanish			"Expresión del grado de posibilidad o probabilidad. Por ejemplo, en 'Juan debe estar en la cama' (porque no contesta el teléfono) se usa el verbo debe para indicar probabilidad."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Modalidad hipotética	English	Spanish			Expresión de una situación o evento como algo que puede ocurrir. Véase condicional hipotética.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Modalidad irreal	English	Spanish			"Expresión de una situación o evento como algo que no se sabe si ha ocurrido, ocurre u ocurriró. En español las formas del subjuntivo y del condicional expresan esta modalidad."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Modalidad real	English	Spanish			"Expresión de una situación o evento como algo que el hablante sabe o asume que ha ocurrido, ocurre u ocurriró. Se opone a modalidad irreal. Por ejemplo, la oración 'Aunque llueva, iremos de excursión' expresa una modalidad irreal, mientras que 'Aunque llueve, vamos a ir de excursión' expresa una modalidad real."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Mood	Modo	English	Spanish			Expresión de la modalidad como parte de la morfologóa verbal. 	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Modularidad	English	Spanish			"Teoróa sobre la estructura y organización de la mente y el cerebro humanos que defiende que tenemos módulos u órganos mentalesóó designados para realizar determinadas tareas en modos especóficos. De acuerdo a esta teoróa, el lenguaje es un módulo... hay una parte de nuestro cerebro cuya función especófica es la de procesar, comprender y producir lenguaje."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Monolingual	Monolingüe	English	Spanish	General		Persona o comunidad que hace uso de una sola lengua. 	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Morpheme	Morfema	English	Spanish	Morphology		"Unidad mónima con significado. Una palabra puede contener un morfema (como sal) o varios morfemas (como sal-es, sal-er-o). de flexión (o flexivo) Afijo que interviene en la formación del paradigma de una palabra (ej. gat-o, gat-a, gat-o-s, gat-a-s)."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Morfema derivativo	English	Spanish			"Afijo que se usa para formar una palabra a partir de otra. gramatical Elemento morfológico que expresa relaciones internas a la lengua. Los afijos, sean derivativos o flexivos, son morfemas gramaticales y también lo son palabras como preposiciones y conjunciones. """	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Morfema léxico	English	Spanish			"Parte de la palabra que expresa su significado bósico. Es la róz de sustantivos, adjetivos, verbos y adverbios."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Morfema libre	English	Spanish			"El que puede aparecer de forma aislada, formando una palabra completa."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Bound morpheme	Morfema ligado	English	Spanish	Morphology		El que aparece siempre unido a otro.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Morphology	Morfología	English	Spanish	Morphology		Parte de la gramótica que estudia la estructura y las reglas de formación de las palabras.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Mozárabe	English	Spanish			Se utiliza este término para hacer referencias al conjunto de variedades romónicas empleadas en la edad media en la parte de la Penónsula Ibérica bajo control órabe.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Náhuatl	English	Spanish			Lengua amerindia hablada por los aztecas. Sigue contando con un número relativamente alto de hablantes en México. Es una de las lenguas nativas de Latinoamérica que más préstamos han aportado al español. Algunas caracterósticas del español de México se deben a la influencia de esta lengua.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Nasal	Nasal	English	Spanish	Phonetics		Sonido en cuya producción el aire sale a través de la cavidad nasal. Neurolingüística El estudio de las estructuras cerebrales necesarios para procesar y comprender una lengua.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Neutralization	Neutralización	English	Spanish	Phonology		Pérdida del contraste entre dos o más fonemas en un contexto determinado.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Nivelación	English	Spanish			lingüística Se dice del proceso por el cual desaparecen las diferencias dialectales de dos dialectos que estón en contacto. 	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Nominative	Nominativo	English	Spanish	Syntax		Caso del sujeto.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Norma culta	English	Spanish			Véase variedad educada.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Nucleus	Núcleo	English	Spanish	Syntax		"La posición básica, central, indispensable, de cualquier sintagma en el esquema de la X con barra, ocupada generalmente por una categoría léxica, y de la que todo el sintagma hereda sus propiedades. El núcleo de un sintagma nominal (SN) es un sustantivo, el del sintagma verbal (SV) es un verbo, etc."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Nudo cíclico	English	Spanish			"Constituyente sintóctico que impide que un elemento se mueva o se desplace fuera de él. En general, son nudos cóclicos en español el sintagma nominal (SN) y la oración subordinada (O0). Entre una huella y su antecedente no pueden intervenir dos nudos cóclicos... *óDe qué autor i dices [O' que conoces [SN las novelas hi]]ó"""	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Number	Número	English	Spanish	Syntax		"Categoría gramatical que expresa la cantidad de unidades del referente. En español tenemos una distinción entre singular (uno) y plural (más de uno) que se refleja en la morfologóa. Además hay algunas palabras, como 'ambos', que semónticamente tienen valor dual (dos), aunque gramaticalmente es simplemente plural."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Obstruent	Obstruyente	English	Spanish	Phonology		"Clase de consonantes producidas sea con obstrucción completa o con obstrucción parcial del paso del aire. Incluye a las consonantes oclusivas, africadas y fricativas. Se opone a resonante."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Stop	Oclusiva	English	Spanish	Phonetics		Consonante producida con oclusión o bloqueo completo del paso del aire.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Sentence	Oración	English	Spanish	Syntax		"Sintagma de concordancia formado por la unión de un sintagma nominal (SN) (el sujeto) y un sintagma verbal (SV) (el predicado) que constituye la unidad mónima de significado completo. La presencia de un verbo conjugado es el requisito único en español para considerar que nos encontramos ante una oración. Asó, el verbo 'canto' puede constituir una oración por sómismo."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Oración adjetiva	English	Spanish			"Véase relativo, oración de."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Oración compuesta	English	Spanish			"La que contiene más de un predicado (ej. Canto y bailo, Creo que sueñas)."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Oración coordinada	English	Spanish			"Véase coordinada, oración."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Oración copulativa	English	Spanish			"Véase copulativa, oración."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Oración declarativa	English	Spanish			Oración que provee información (ej. No me gustan los garbanzos).	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Oración exclamativa	English	Spanish			"Véase exclamativa, oración."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Oración imperativa	English	Spanish			"Véase imperativa, oración."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Oración impersonal	English	Spanish			"Véase impersonal, oración."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Oración interrogativa	English	Spanish			"Véase interrogativa, oración."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Oración intransitiva	English	Spanish			"Aquélla cuyo predicado contiene un verbo intransitivo. Véase también intransitivo, verbo."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Oración pasiva	English	Spanish			"Véase pasiva, oración. pasivo-refleja Véase pasivo-refleja, oración."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Oración principal	English	Spanish			"En una oración compuesta que contiene una subordinada, la parte de la oración que puede aparecer por sómisma, como oración independiente. En la oración compuesta subordinada Quiero que vengas la oración principal es quiero."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Oración simple	English	Spanish			La que contiene un solo predicado (ej. Mariano canta boleros). 	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Oración subordinada	English	Spanish			Oración compuesta que estóformada por dos o más oraciones simples unidas por un nexo complementante de manera que una de las oraciones forme parte de otra. 	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Oración subordinada	English	Spanish			"La clóusula que no es la principal en una oración compuesta subordinada. Según la función que desempeñe dentro de la oración principal, podemos tener oraciones subordinadas sustantivas o completivas, subordinadas adjetivas o de relativo y subordinadas adverbiales."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	"Originaria, lengua"	English	Spanish			Lengua que es nativa a la región de uso.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Oxítona	English	Spanish			Palabra con acento prosódico en la última sílaba. Un sinónimo es palabra aguda.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Paciente	English	Spanish			"Rol semóntico de la persona o cosa que es afectada por la acción expresada en la oración. Generalmente corresponde con el objeto directo, como en 'Juan abrió la puerta'; pero en la pasiva este rol recae en el sujeto, como en 'La puerta fue abierta por Juan'."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Pachuco	English	Spanish			"Variedad empleada por jóvenes del suroeste de los Estados Unidos, especialmente de la región de El Paso. También se le conoce como caló. """	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Palatal	Palatal	English	Spanish	Phonetics		Sonido producido con constricción en la parte más alta de la boca.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Palenquero	English	Spanish			"Lengua criolla de base española hablada en la región de San Basilio de Palenque en el norte de Colombia, cerca de la costa del Caribe. Tiene muy pocos hablantes."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Papiamento	English	Spanish			"Lengua criolla de base luso-española, con influencia del holandés. Es lengua cooficial con el holandés y el inglés en las islas caribeñas de Curaúao, Aruba y Bonaire frente a la costa de Venezuela."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Minimal pair	Par mínimo	English	Spanish	Phonology		"Dos palabras que se diferencian en un único fonema. Paradigma flexivo Las diferentes formas que adopta una palabra según su flexión. Por ejemplo, todas las formas que puede adoptar el verbo cantar forman el paradigma flexivo de este verbo."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Parasíntesis	English	Spanish			"Proceso por el cual para derivar una palabra de otra se adjuntan simultóneamente un prefijo y un sufijo, como en a-pedr-e-ar a partir de 'piedra'."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Paroxítona	English	Spanish			Palabra con acento prosódico en la penúltima sílaba. Como sinónimos se usan también los términos palabra llana y palabra grave. 	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	"Pasiva, oración"	English	Spanish			"Se opone a activa. Toda oración pasiva tiene una oración activa transitiva que le corresponde, de modo que el sujeto de la pasiva equivale al complemento directo de la activa. Por ejemplo, de la activa 'La policóa descubrió el crimen' derivamos la pasiva 'El crimen fue descubierto (por la policóa)' por promoción del objeto directo a sujeto. En la pasiva el sujeto no se interpreta como agente sino como paciente o tema de la acción. La construcción pasiva en español se forma con una forma del verbo ser y el participio pasado de un verbo transitivo concordando en género y número con el sujeto (ej. Fueron destruidos. Seró explicada). El agente, si se expresa, aparece como sintagma preposicional (SPrep) generalmente con la preposición 'por'. Otro tipo de construcción pasiva en español es la pasivo-refleja."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	"Pasivo-refleja, oración"	English	Spanish			"Oración pasiva construida con se en español, en el que el tema de la acción se convierte en sujeto y concuerda por tanto con un verbo en forma activa (ej. Se descubrióel tesoro en el parque / Se descubrieron los tesoros en el parque)."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Patrimonial	English	Spanish			Palabra que ha pasado a través de los siglos por transmisión oral directa en el seno de la familia.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Perfectivo	English	Spanish			Véase aspecto.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	"Performativo, verbo"	English	Spanish			Verbo que nombra el acto de habla que realiza el enunciado en que ocurre (ej. Lo sentencio a quince años de córcel. Te prometo que voy a dejar de fumar). Un enunciado que contiene un verbo performativo es un enunciado performativo.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Critical period	Periodo crítico	English	Spanish			"Lómite de edad para aprender una lengua materna. La hipótesis del periodo crótico mantiene que existe un plazo de tiempo determinado para la adquisición del lenguaje, después del cual la adquisición plena de las facultades gramaticales es imposible."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Person	Persona	English	Spanish	Syntax		"Manifestación gramatical de la distinción entre hablante (1a persona), oyente (2a persona) y otro (3a persona)."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Pidgin	English	Spanish			"Lengua artificial desarrollada en la comunicación verbal entre hablantes que no comparten una lengua común y que surge, en general, cuando dos o más personas, culturas o grupos entran en contacto en una situación de intercambio o comercio. En su origen una lengua pidgin no es la lengua nativa de nadie."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Polisemia	English	Spanish			"La existencia de varios significados relacionados en una palabra (ej. simple en palabra simple, un procedimiento simple, una comida simple). Polótica lingüística Grupo de normas y reglas creadas especialmente para influenciar o modificar el comportamiento verbal de una comunidad de hablantes."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Pragmatics	Pragmática	English	Spanish	Pragmatics		El estudio del significado lingüístico tomando en cuenta el contexto discursivo y la situación del acto de comunicación.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Prefix	Prefijo	English	Spanish	Morphology		Elemento añadido antes de una róz.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Prepalatal	Prepalatal	English	Spanish	Phonetics		Sonido en cuya producción la mayor constricción es en una zona algo anterior a la región palatal.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Preposition	Preposición	English	Spanish	Syntax		"Palabra invariable (sin flexión) que, generalmente, sirve como nexo de unión de un sintagma nominal (SN) siguiente, formando con él un sintagma preposicional (ej. Le di un libro de poemas a mi amigo por su cumpleaños). Se emplea también como elemento de unión en perófrasis verbales (ej. Empezóa llover, Acaban de llegar). Las preposiciones forman una clase cerrada. Las principales son a, ante, bajo, contra, de, desde, durante, en, entre, hacia, hasta, mediante, para, por, según, sin, sobre, tras."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	"Preposicional, sintagma"	English	Spanish			El encabezado por una preposición. Su estructura es generalmente SP > P SN.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	"Preposicional, verbo"	English	Spanish			"El que requiere un sintagma preposicional (SPrep) con una preposición especófica como complemento (ej. consistir (en), depender (de), soñar (con))."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Present	Presente	English	Spanish	Syntax		Tiempo verbal que hace referencia al momento del habla. 	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Préstamo	English	Spanish			Palabra tomada de otra lengua.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
